"Year";"Day Ahead Auction (FI)"
"01.01.2018";24.366
"02.01.2018";31.474
"03.01.2018";28.716
"04.01.2018";31.782
"05.01.2018";31.099
"06.01.2018";30.795
"07.01.2018";28.088
"08.01.2018";31.978
"09.01.2018";34.127
"10.01.2018";39.88
"11.01.2018";42.536
"12.01.2018";36.894
"13.01.2018";32.304
"14.01.2018";29.476
"15.01.2018";31.892
"16.01.2018";31.435
"17.01.2018";40.022
"18.01.2018";41.961
"19.01.2018";53.046
"20.01.2018";34.421
"21.01.2018";34.295
"22.01.2018";56.038
"23.01.2018";76.222
"24.01.2018";32.579
"25.01.2018";33.502
"26.01.2018";41.728
"27.01.2018";31.716
"28.01.2018";28.047
"29.01.2018";35.833
"30.01.2018";36.23
"31.01.2018";44.93
"01.02.2018";33.478
"02.02.2018";36.524
"03.02.2018";34.19
"04.02.2018";33.458
"05.02.2018";52.526
"06.02.2018";47.046
"07.02.2018";46.578
"08.02.2018";42.039
"09.02.2018";37.457
"10.02.2018";32.535
"11.02.2018";29.634
"12.02.2018";38.997
"13.02.2018";37.082
"14.02.2018";38.259
"15.02.2018";35.128
"16.02.2018";40.175
"17.02.2018";38.077
"18.02.2018";36.019
"19.02.2018";49.249
"20.02.2018";52.595
"21.02.2018";53.494
"22.02.2018";50.352
"23.02.2018";44.473
"24.02.2018";38.428
"25.02.2018";38.399
"26.02.2018";48.701
"27.02.2018";50.708
"28.02.2018";88.238
"01.03.2018";94.825
"02.03.2018";70.182
"03.03.2018";43.101
"04.03.2018";40.782
"05.03.2018";54.565
"06.03.2018";48.516
"07.03.2018";46.675
"08.03.2018";39.925
"09.03.2018";40.24
"10.03.2018";37.231
"11.03.2018";36.065
"12.03.2018";42.132
"13.03.2018";42.436
"14.03.2018";47.316
"15.03.2018";45.766
"16.03.2018";41.629
"17.03.2018";37.922
"18.03.2018";37.029
"19.03.2018";41.979
"20.03.2018";43.472
"21.03.2018";41.822
"22.03.2018";41.304
"23.03.2018";47.078
"24.03.2018";40.067
"25.03.2018";39.742
"26.03.2018";47.559
"27.03.2018";46.14
"28.03.2018";46.528
"29.03.2018";40.947
"30.03.2018";40.899
"31.03.2018";39.944
"01.04.2018";39.051
"02.04.2018";39.54
"03.04.2018";43.608
"04.04.2018";43.111
"05.04.2018";42.167
"06.04.2018";40.109
"07.04.2018";39.406
"08.04.2018";39.396
"09.04.2018";42.907
"10.04.2018";41.051
"11.04.2018";41.035
"12.04.2018";40.616
"13.04.2018";38.993
"14.04.2018";38.292
"15.04.2018";39.695
"16.04.2018";47.424
"17.04.2018";43.866
"18.04.2018";41.954
"19.04.2018";39.239
"20.04.2018";35.776
"21.04.2018";31.659
"22.04.2018";34.158
"23.04.2018";42.918
"24.04.2018";35.818
"25.04.2018";40.871
"26.04.2018";41.475
"27.04.2018";49.391
"28.04.2018";38.496
"29.04.2018";34.292
"30.04.2018";30.019
"01.05.2018";22.411
"02.05.2018";36.38
"03.05.2018";57.339
"04.05.2018";39.485
"05.05.2018";30.195
"06.05.2018";18.165
"07.05.2018";24.48
"08.05.2018";37.993
"09.05.2018";15.65
"10.05.2018";14.46
"11.05.2018";30.655
"12.05.2018";29.416
"13.05.2018";18.29
"14.05.2018";50.351
"15.05.2018";48.609
"16.05.2018";68.013
"17.05.2018";34.444
"18.05.2018";39.809
"19.05.2018";34.014
"20.05.2018";22.466
"21.05.2018";38.692
"22.05.2018";55.063
"23.05.2018";50.281
"24.05.2018";49.762
"25.05.2018";48.029
"26.05.2018";38.601
"27.05.2018";37.274
"28.05.2018";49.114
"29.05.2018";43.226
"30.05.2018";47.17
"31.05.2018";50.492
"01.06.2018";50.687
"02.06.2018";43.023
"03.06.2018";41.528
"04.06.2018";45.255
"05.06.2018";50.036
"06.06.2018";54.884
"07.06.2018";54.614
"08.06.2018";57.842
"09.06.2018";52.349
"10.06.2018";45.866
"11.06.2018";49.948
"12.06.2018";46.876
"13.06.2018";55.369
"14.06.2018";53.418
"15.06.2018";46.457
"16.06.2018";44.196
"17.06.2018";43.34
"18.06.2018";47.309
"19.06.2018";42.646
"20.06.2018";42.277
"21.06.2018";44.578
"22.06.2018";31.682
"23.06.2018";35.704
"24.06.2018";42.172
"25.06.2018";49.711
"26.06.2018";48.94
"27.06.2018";46.584
"28.06.2018";46.594
"29.06.2018";45.159
"30.06.2018";45.791
"01.07.2018";45.726
"02.07.2018";50.275
"03.07.2018";52.285
"04.07.2018";53.612
"05.07.2018";54.884
"06.07.2018";50.496
"07.07.2018";47.197
"08.07.2018";48.922
"09.07.2018";51.534
"10.07.2018";53.573
"11.07.2018";54.157
"12.07.2018";55.347
"13.07.2018";55.76
"14.07.2018";51.457
"15.07.2018";51.208
"16.07.2018";55.606
"17.07.2018";54.305
"18.07.2018";51.924
"19.07.2018";53.916
"20.07.2018";56.449
"21.07.2018";52.736
"22.07.2018";52.362
"23.07.2018";56.19
"24.07.2018";57.391
"25.07.2018";57.874
"26.07.2018";56.258
"27.07.2018";56.931
"28.07.2018";50.514
"29.07.2018";50.146
"30.07.2018";62.26
"31.07.2018";65.294
"01.08.2018";63.968
"02.08.2018";59.102
"03.08.2018";62.105
"04.08.2018";51.391
"05.08.2018";49.356
"06.08.2018";55.839
"07.08.2018";57.798
"08.08.2018";55.994
"09.08.2018";50.431
"10.08.2018";54.65
"11.08.2018";46.872
"12.08.2018";45.707
"13.08.2018";56.599
"14.08.2018";57.701
"15.08.2018";53.986
"16.08.2018";53.111
"17.08.2018";50.774
"18.08.2018";46.968
"19.08.2018";45.787
"20.08.2018";52.266
"21.08.2018";58.251
"22.08.2018";56.8
"23.08.2018";59.66
"24.08.2018";52.636
"25.08.2018";51.629
"26.08.2018";52.018
"27.08.2018";55.11
"28.08.2018";64.948
"29.08.2018";62.961
"30.08.2018";63.272
"31.08.2018";63.534
"01.09.2018";59.005
"02.09.2018";56.3
"03.09.2018";62.755
"04.09.2018";65.011
"05.09.2018";64.122
"06.09.2018";63.466
"07.09.2018";59.562
"08.09.2018";54.276
"09.09.2018";53.812
"10.09.2018";55.837
"11.09.2018";56.378
"12.09.2018";53.936
"13.09.2018";56.943
"14.09.2018";57.151
"15.09.2018";49.148
"16.09.2018";49.978
"17.09.2018";57.407
"18.09.2018";55.288
"19.09.2018";48.65
"20.09.2018";42.88
"21.09.2018";33.193
"22.09.2018";22.6
"23.09.2018";35.995
"24.09.2018";46.129
"25.09.2018";46.062
"26.09.2018";32.333
"27.09.2018";41.747
"28.09.2018";55.368
"29.09.2018";41.344
"30.09.2018";37.329
"01.10.2018";48.11
"02.10.2018";50.67
"03.10.2018";50.868
"04.10.2018";58.07
"05.10.2018";48.158
"06.10.2018";46.894
"07.10.2018";49.104
"08.10.2018";46.647
"09.10.2018";45.875
"10.10.2018";48.494
"11.10.2018";49.608
"12.10.2018";48.568
"13.10.2018";30.526
"14.10.2018";17.348
"15.10.2018";44.779
"16.10.2018";49.539
"17.10.2018";48.862
"18.10.2018";51.723
"19.10.2018";48.035
"20.10.2018";43.31
"21.10.2018";38.202
"22.10.2018";41.072
"23.10.2018";42.076
"24.10.2018";46.53
"25.10.2018";49.676
"26.10.2018";54.893
"27.10.2018";44.227
"28.10.2018";43.983
"29.10.2018";49.41
"30.10.2018";42.274
"31.10.2018";46.268
"01.11.2018";45.222
"02.11.2018";45.122
"03.11.2018";43.625
"04.11.2018";43.401
"05.11.2018";47.408
"06.11.2018";50.872
"07.11.2018";52.24
"08.11.2018";54.57
"09.11.2018";48.528
"10.11.2018";42.373
"11.11.2018";40.178
"12.11.2018";45.195
"13.11.2018";47.71
"14.11.2018";53.364
"15.11.2018";47.007
"16.11.2018";46.452
"17.11.2018";45.914
"18.11.2018";46.706
"19.11.2018";48.988
"20.11.2018";47.356
"21.11.2018";53.25
"22.11.2018";65.172
"23.11.2018";54.214
"24.11.2018";48.868
"25.11.2018";49.316
"26.11.2018";66.382
"27.11.2018";72.886
"28.11.2018";50.856
"29.11.2018";45.048
"30.11.2018";45.576
"01.12.2018";45.28
"02.12.2018";44.428
"03.12.2018";47.885
"04.12.2018";48.5
"05.12.2018";55.38
"06.12.2018";53.728
"07.12.2018";52.534
"08.12.2018";43.238
"09.12.2018";41.034
"10.12.2018";52.014
"11.12.2018";56.248
"12.12.2018";60.289
"13.12.2018";57.914
"14.12.2018";59.288
"15.12.2018";51.611
"16.12.2018";50.067
"17.12.2018";65.451
"18.12.2018";60.694
"19.12.2018";57.873
"20.12.2018";58.514
"21.12.2018";56.566
"22.12.2018";51.266
"23.12.2018";53.196
"24.12.2018";50.203
"25.12.2018";41.02
"26.12.2018";44.439
"27.12.2018";51.97
"28.12.2018";54.746
"29.12.2018";49.695
"30.12.2018";50.86
"31.12.2018";45.042