local_time;      rrp
3/07/2022 16:40; 64.99
3/07/2022 16:45; 73.10744
3/07/2022 16:50; 74.21746
3/07/2022 16:55; 95.90964
3/07/2022 17:00; 89.60728
3/07/2022 17:05; 90.37018
3/07/2022 17:10; 92.52947
3/07/2022 17:15; 100.1449
3/07/2022 17:20; 103.70199
3/07/2022 17:25; 290.2848
3/07/2022 17:30; 115.40232
3/07/2022 17:35; 121.00009
3/07/2022 17:40; 294.62543
3/07/2022 17:45; 121
3/07/2022 17:50; 294.69446
3/07/2022 17:55; 124.90664
3/07/2022 18:00; 117.21929
3/07/2022 18:05; 115.60193
3/07/2022 18:10; 121
3/07/2022 18:15; 148.20186
3/07/2022 18:20; 123.11763
3/07/2022 18:25; 120.99996
3/07/2022 18:30; 121
3/07/2022 18:35; 121
3/07/2022 18:40; 121
3/07/2022 18:45; 120.77726
3/07/2022 18:50; 105.44435
3/07/2022 18:55; 104.22928
3/07/2022 19:00; 102.26646
3/07/2022 19:05; 99.5896
3/07/2022 19:10; 95.5881
3/07/2022 19:15; 88
3/07/2022 19:20; 88
3/07/2022 19:25; 88
3/07/2022 19:30; 96.97537
3/07/2022 19:35; 88
3/07/2022 19:40; 86.39322
3/07/2022 19:45; 88
3/07/2022 19:50; 85.97703
3/07/2022 19:55; 86
3/07/2022 20:00; 87.61047
3/07/2022 20:05; 88
3/07/2022 20:10; 88
3/07/2022 20:15; 85.34908
3/07/2022 20:20; 85.1
3/07/2022 20:25; 71.01181
3/07/2022 20:30; 84.88422
3/07/2022 20:35; 85.39669
3/07/2022 20:40; 86.02542
3/07/2022 20:45; 84.87425
3/07/2022 20:50; 70.0652
3/07/2022 20:55; 70.65106
3/07/2022 21:00; 70.53063
3/07/2022 21:05; 68.27
3/07/2022 21:10; 68.86159
3/07/2022 21:15; 68.32018
3/07/2022 21:20; 67.30473
3/07/2022 21:25; 66.78292
3/07/2022 21:30; 66.02195
3/07/2022 21:35; 66.40755